id,資料集名稱,服務分類,檔案格式,下載連結,資料類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,發布時間,修訂時間,備註
7778,活動-觀光資訊資料庫,休閒旅遊,JSON;XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/activity_C_f.json;http://gis.taiwan.net.tw/XMLReleaseALL_public/activity_C_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、Id、Name、Description、Particpation、Location、Add、Tel、Org、Start、End、Cycle、Noncycle、Website、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Px、Py、Class1、Class2、ActivityClass、Map、Travellinginfo、Parkinginfo、Charge、Remarks、RegionId,交通部觀光局,每日,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;;UTF-8;,蘇先生,02-23491500轉8130,2014/01/23 13:49:34,2016/10/14 16:58:47,座標地圖:GOOGLE為主；目前因臺北市政府、新北市政府、澎湖縣政府、退輔會(農場)、內政部營建署(國家公園)及教育部體育署(教育場館)，尚在盤點資料故未納入本資料庫。
7779,餐飲-觀光資訊資料庫,休閒旅遊,JSON;XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/restaurant_C_f.json;http://gis.taiwan.net.tw/XMLReleaseALL_public/restaurant_C_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、Id、Name、Description、Add、Zipcode、Tel、Opentime、Website、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Px、Py、Class、Map、Parkinginfo、RegionId,交通部觀光局,每日,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;;UTF-8;,蘇先生,02-23491500轉8130,2014/01/23 13:49:34,2016/10/14 17:03:20,座標地圖:GOOGLE為主；目前因臺北市政府、新北市政府、澎湖縣政府、退輔會(農場)、內政部營建署(國家公園)及教育部體育署(教育場館)，尚在盤點資料故未納入本資料庫。
7780,旅館民宿-觀光資訊資料庫,休閒旅遊,JSON;XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/hotel_C_f.json;http://gis.taiwan.net.tw/XMLReleaseALL_public/hotel_C_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、Id、Name、Description、Grade、Add、Zipcode、Tel、Fax、Gov、Website、Picture1、Picture2、Picture3、Picdescribe1、Picdescribe2、Picdescribe3、Px、Py、Class、Map、Spec、Serviceinfo、Parkinginfo、RegionId,交通部觀光局,每日,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;;UTF-8;,蘇先生,02-23491500轉8130,2014/01/23 13:49:34,2016/10/14 17:12:39,座標地圖:GOOGLE為主
41657,2013活動-觀光資訊資料庫,休閒旅遊,CSV,http://gis.taiwan.net.tw/XMLReleaseALL_public/2013activity.csv,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食及旅館民宿等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,Id、Name、Description、Particpation、Location、Add、Tel、Org、Start、End、Cycle、Noncycle、Website、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Px、Py、Class1、Class2、ActivityClass、Map、Travellinginfo、Parkinginfo、Charge、Remarks、RegionId,交通部觀光局,無,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/25 21:37:52,2016/12/26 19:18:50,
41653,步道,休閒旅遊,XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/Walk_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食、旅館民宿、自行車道及步道等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、步道(Id、Name_NB、Name、S_Place、E_Place、Toldescribe、Description、Add、Tel、Class、Walkingtime、Length、Height、Surf1、Surf2、Surf3、Visit、Landscape、Region、town、Travellinginfo、Picture1、Picdescribe1、Picture2、Picdescribe2、Picture3、Picdescribe3、Gov、Map、Remarks、Keyword、Route_XY)及步道周邊設施(Id、PId、Facilities、Name、Description、Px、Py),交通部觀光局,每日,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/23 22:14:36,2016/12/24 14:40:19,目前步道收納資料為交通部觀光局轄下各國家風景區管理處
7322,歷年來台旅客統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/年表01(歷年來台旅客統計).csv,rawData,資料內容提供45年至101年來台旅客人數統計,"人數No.ofVisitors""成長率GrowthRate%""指數Index1991=100""人數No.ofVisitors""成長率GrowthRate%""佔總計百分比%ofTotal""人數No.ofVisitors""成長率GrowthRate%""佔總計百分比%ofTotal",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/11 14:45:28,
7323,101年來台旅客居住國統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表02(101年來台旅客居住地統計).csv,rawData,資料內容提供101年來台旅客居住地人數統計,"居住地Residence"101年2012100年2011比較Change+-%"合計Total""華僑旅客OverseasChinese""外籍旅客Foreigners""合計Total""華僑旅客OverseasChinese""外籍旅客Foreigners""合計Total""華僑旅客OverseasChinese""外籍旅客Foreigners",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,Big-5,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/19 11:56:53,
8357,102年來台旅客職業統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102_05.csv,rawData,資料內容提供102年來台旅客職業統計,"居住地Residence""合計Total""商人銷售人員Merchant&Salesman""秘書職員Secretary&Clerk""專門技術人員TechnicalPersonnel""文化工作人員CulturalPersonnel""家庭主婦退休人員Housewife&Retired""軍公職人員Military&Gov't""其他Others""未列明Unstated",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500轉8130,2014/07/10 08:36:07,2016/10/14 17:19:34,
8358,102年來台旅客年齡統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102_06.csv,rawData,資料提供102年來台旅客年齡統計,"居住地Residence""合計Total""9歲及以下9yearsandUnder""10至19歲10-19years""20至29歲20-29years""30至39歲30-39years""40至49歲40-49years""50至59歲50-59years""60歲以上60yearsandOver",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2014/07/10 08:38:16,2016/10/14 17:21:55,
8587,國人出國旅遊重要指標統計表,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/國人出國旅遊重要指標統計表.csv,rawData,國人出國旅遊重要指標統計表,國人從事出國旅遊的比率、國人出國總人次、平均每人出國次數、平均停留夜數、每人每次平均消費支出、出國旅遊消費總支出,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500轉8130,2014/08/20 15:27:30,2016/10/18 16:59:52,
8590,13處國家風景區102年全區遊客人次推估表,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/13處國家風景區102年全區遊客人次推估表-可上線.csv,rawData,13處國家風景區102年全區遊客人次推估表,國家風景區、全區遊客人次推估、國際觀光客人次推估、國際觀光客占全區遊客比例(%),交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500轉8130,2014/08/20 16:19:11,2016/10/19 09:39:33,
9328,102年來台旅客居住地統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表02(102年來台旅客居住地統計).csv,rawData,資料內容提供102年來台旅客居住地統計,"居住地Residence"102年2013101年2012比較Change+-%"合計Total""華僑旅客OverseasChinese""外籍旅客Foreigners""合計Total""華僑旅客OverseasChinese""外籍旅客Foreigners""合計Total""華僑旅客OverseasChinese""外籍旅客Foreigners",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2014/10/02 14:47:57,2016/10/19 10:10:37,
15431,103年來台旅客國籍統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/103年來台旅客國籍統計.CSV.csv,rawData,內容主要為103年來台旅客國籍統計,國籍Nationality""103年2014102年2013比較Change+-%""GrowthRate%""指數Index1991=100""人數No.ofVisitors""成長率GrowthRate%""佔總計百分比%ofTotal""人數No.ofVisitors""成長率GrowthRate%""佔總計百分比%ofTotal",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2015/05/26 10:42:33,2016/10/19 10:30:50,
15451,103年來台旅客年齡與來台目的交叉統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表12_new(103年來台旅客年齡與來台目的交叉統計).CSV.csv,rawData,內容主要為103年來台旅客年齡與來台目的交叉統計,年齡Age、業務Business、觀光Pleasure、探親VisitRelatives、求學Study、會議Conference、展覽Exhibition、醫療MedicalTreatment、其他Others、合計Total、百分比%,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2015/05/26 16:16:29,2016/10/19 11:17:42,
26928,103年來臺旅客消費及動向調查,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201601/103年來臺旅客消費及動向調查.zip,rawData,資料內容提供103年來臺旅客消費及動向調查,停留夜數、來臺次數、出發之前多久計畫此次行程、旅遊動向、對臺灣境內搭乘交通工具之滿意度、此次來臺經驗滿意度,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/01/25 11:25:18,2016/05/23 16:08:57,
38117,104年來台旅客職業統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201610/年表05(104年來台旅客職業統計).csv,rawData,104年來台旅客年齡統計,"居住地Residence""合計Total""商人銷售人員Merchant&Salesman""秘書職員Secretary&Clerk""專門技術人員TechnicalPersonnel""文化工作人員CulturalPersonnel""家庭主婦退休人員Housewife&Retiree""軍公職人員Military/GovernmentService""其他Others""未列明Unstated",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/10/31 09:56:18,2016/10/31 10:48:30,
38118,104年來台旅客年齡統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201610/年表06(104年來台旅客年齡統計).csv,rawData,104年來台旅客年齡統計,"居住地Residence""合計Total""9歲及以下9yearsandUnder""10至19歲10-19years""20至29歲20-29years""30至39歲30-39years""40至49歲40-49years""50至59歲50-59years""60歲以上60yearsandOver",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/10/31 10:07:05,2016/10/31 10:48:17,
38864,銀髮族旅遊,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/長青住房專案.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/銀髮族旅遊路線.csv,rawData,銀髮族旅遊;含長青住房專案及銀髮族旅遊路線,飯店專案名稱活動時間活動方案備註國家風景區旅遊路線名稱行程介紹路線內容無障礙設施據點無障礙設備借用無障礙廁所無障礙停車格,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5;BIG-5,蘇先生,02-23491500#8130,2016/11/08 15:09:30,2016/11/28 11:37:35,
41444,觀光遊樂業-環境資源,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201612/環境資源資料-國旅組修.csv,rawData,觀光遊樂業-環境資源,名稱地址空氣品質控管節能/節水是否採購具環保標產品一次性產品之減量與禁用垃圾分類與資源回收機制低碳生活（有機農產、在地食材）污染防制與化學品減量聯絡人資訊,交通部觀光局,每季,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/21 11:24:20,2016/12/24 14:40:45,
41494,觀光旅館不定期聯合檢查開放資料,休閒旅遊,XLSX,http://admin.taiwan.net.tw/upload/contentFile/201612/觀光旅館不定期聯合檢查開放資料.xlsx,rawData,休閒旅遊:係指各種國內外旅遊、娛樂、運動、文化等相關資料集,項次旅館名稱地址電話星級標示營業衛生檢查資料其他稽查不合格項目檢查日期,交通部觀光局,每季,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/21 15:23:43,2016/12/24 14:40:39,
41652,自行車道,休閒旅遊,XML,http://gis.taiwan.net.tw/XMLReleaseALL_public/Bike_f.xml,rawData,交通部觀光局蒐集各政府機關所發布空間化觀光資訊，內容包含旅遊景點、活動訊息、餐飲美食、旅館民宿、自行車道及步道等資料，提供完整之觀光GIS基礎資料給業者進行加值應用，發布給所需之使用者，創造觀光發展及全新的商品與服務，提供遊客無縫隙旅遊資訊服務。,listname、language、orgname、updatetime、自行車道(Id、Name_NB、IOTId、RoadId、RoadNo、Systype、Name、S_PlaceDes、E_PlaceDes、Toldescribe、Description、Bike_length、Bike_width、Road_width、Hight、Slope、Lamp、Direction、RoadType、Pave、Class1、Class2、Class3、STRUCTURE、CS、Add、Tel、Region、town、Travellinginfo、Picdescribe1、Picture1、Picdescribe2、Picture2、Picdescribe3、Picture3、Map、Gov、Website、Remarks、Keyword、Route_XY)及自行車道周邊設施(Id、PId、IOTId、FacilityId),交通部觀光局,每日,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/12/23 22:06:45,2016/12/24 14:40:12,目前自行車道收納資料為交通部觀光局轄下各國家風景區管理處
7325,歷年中華民國國民出國目的地人數統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/年表25(97年至102年中華民國國民出國目的地人數統計).csv,rawData,資料內容提供96年至101年中華民國國民出國目的地人數統計,"首站抵達地FirstDestination"九十一年2002"92年2003""93年2004""94年2005""95年2006""96年2007""97年2008""98年2009""99年2010""100年2011""101年2012""102年2013",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/14 15:54:13,
7327,101年國內主要遊憩據點遊客人數月別統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/國內遊憩區人數.csv,rawData,資料內容提供101年國內主要遊憩據點遊客人數月別統計,"類型Class""1月Jan.""2月Feb.""3月Mar.""4月Apr.""5月May""6月Jun.""7月Jul.""8月Aug.""9月Sep.""10月Oct.""11月Nov.""12月Dec.""合計Total",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;,蘇先生,02-23491500#8123,2014/01/01 01:28:40,2016/10/14 16:10:34,
8116,102年國內主要遊憩據點遊客人數月別統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102年遊憩區年表32(new).csv,rawData,資料內容提供102年國內主要遊憩據點遊客人數月別統計,"類型Class""觀光遊憩區ScenicSpots""縣市別Location""1月Jan.""2月Feb.""3月Mar.""4月Apr.""5月May""6月Jun.""7月Jul.""8月Aug.""9月Sep.""10月Oct.""11月Nov.""12月Dec.""合計Total",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,Big-5;,蘇先生,02-23491500轉8123,2014/04/30 14:04:15,2016/10/14 17:15:15,
8359,102年來台旅客搭乘交通工具及入境港口統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102_08.csv,rawData,資料提供102年來台旅客搭乘交通工具及入境港口統計,"居住地Residence""合計Total"飛機Air輪船Sea"小計Sub-total""松山Sung-Shan""桃園Tao-yuan""臺中Tai-chung""高雄Kao-hsiung""其他Others""小計Sub-total""基隆Kee-lung""臺中Tai-chung""高雄Kao-hsiung""其他Others",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2014/07/10 08:46:33,2016/10/18 16:23:43,
8360,102年中華民國國民出國年齡統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102_27.csv,rawData,資料提供102年中華民國國民出國年齡統計,"首站抵達地FirstDestination""12歲以下12andUnder""13歲至19歲13-19""20至29歲20-29""30至39歲30-39""40至49歲40-49""50至59歲50-59""60歲及以上60andOver""合計Total",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2014/07/10 08:48:15,2016/10/18 16:28:01,
8361,102年中華民國國民出國搭乘交通工具及出境港口統計,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102_29.csv,rawData,資料提供102年中華民國國民出國搭乘交通工具及出境港口統計,"首站抵達地FirstDestination""合計Total"飛機Air輪船Sea"小計Subtotal""松山SungShan""桃園Taoyuan""臺中Taichung""高雄Kaohsiung""其他Others""小計Subtotal""基隆Keelung""臺中Taichung""高雄Kaohsiung""蘇澳Suao""花蓮Hualien""金門Kinmem""馬祖Matsu""其他Others",交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500轉8130,2014/07/10 08:51:51,2016/10/18 16:52:23,
8588,國人國內旅遊重要指標統計表,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/國人國內旅遊重要指標統計表.csv,rawData,國人國內旅遊重要指標統計表,國人國內旅遊比率、平均每人旅遊次數、國人國內旅遊總旅次、平均停留天數、假日旅遊比率、旅遊整體滿意度、每人每日旅遊平均費用、每人每次旅遊平均費用、國人國內旅遊總費用,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500轉8130,2014/08/20 15:29:51,2016/10/18 17:06:38,
26926,103年國人旅遊狀況調查,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201601/103年國人旅遊狀況調查.zip,rawData,資料內容提供103年國人旅遊狀況調查,停留天數、停留夜數、到訪國家、出國主要目的、選擇出國旅遊地點主要原因、出國安排方式、年齡、教育程度、職業、婚姻狀況、個人每月平均所得、居住縣市、性別、季別、出國旅次權數、對本季所到過的遊覽地區不滿意的項目,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,UTF-8,蘇先生,02-23491500#8130,2016/01/25 11:15:14,2016/05/23 16:08:57,
6630,青年旅遊卡資訊,休閒旅遊,CSV,https://youthtravel.tw/upload/file/青年旅遊卡發卡點資訊UTF8.csv,rawData,本資料集為教育部青年發展署針對15-30歲青年發行免費申辦的青年旅遊卡，持卡青年可享景點門票、住宿、交通、小吃購物、中文學習等優惠。為利青年申辦青年旅遊卡，結合交通部觀光局旅客服務中心、青年志工中心、華語文中心及部分縣市政府、民間團體等計119個服務據點，提供青年旅遊諮詢服務網絡及申辦青年旅遊卡。,主要欄位有「地區別」、「旅客服務中心名稱」、「服務時間」、「電話」及「地址」。,教育部青年發展署,每季,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8;,張小姐,02-23566160,2014/01/01 01:26:20,2016/06/21 00:28:32,
8589,102年來臺旅遊市場相關指標值,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201606/102年來臺旅遊市場相關指標值.csv,rawData,102年來臺旅遊市場相關指標值,來臺旅客人次、觀光外匯收入、來臺旅客平均每人每次消費、來臺旅客平均停留夜數、來臺旅客平均每人每日消費、觀光目的旅客人次、觀光目的旅客平均每人每日消費、業務目的旅客人次、業務目的旅客平均每人每日消費、來臺旅客整體滿意度、旅客來臺重遊比率,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,UTF-8,蘇小姐,02-23491500轉8130,2014/08/20 16:16:45,2016/10/18 17:15:23,
38764,104年國人旅遊狀況調查,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/104全年國內旅次.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/104全年國內旅次欄位說明.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/104國內外旅客.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/104國內外旅客欄位說明.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/104全年出國旅次.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/104全年出國旅次欄位說明.csv,rawData,休閒旅遊:係指各種國內外旅遊、娛樂、運動、文化等相關資料集,seasonvq3vq4_1vq4_2vq4_3vq4_4vq4_5vq4_6vq4_7vq4_8vq4_9vq4_10vq5vq6vq6_avq7vq8vq8avq9vq9avq9b_1vq9b_2vq9b_3vq9b_4vq9b_5vq9c_1vq9c_2vq9c_3vq9c_4vq9c_5vq10_1vq10_2vq10_3vq10_4vq10_5vq10_6vq10_7vq11vq13_1vq13_2vq13_3vq14_1vq14_2vq14_3vq14_4vq14_5vq14_6vq15_1vq15a_1vq15a_2vq15a_3vq15a_4vq16vq17vq18_1vq18_2vq18_3vq18_4vq18_5vq18_6vq18_7vq18_8vq18_9vq18_10vq18avb1vb2vb5vb6vb3vb4vb9vb8areaweightq13A1q13A2q13A3q13A4q13A5q13A6q13A7q13A_1totalQ6agencyweight_Q6,交通部觀光局,每年,政府資料開放授權條款-第1版,http://data.gov.tw/license,免費,BIG-5;BIG-5;BIG-5;BIG-5;BIG-5;BIG-5,蘇先生,02-23491500#8130,2016/11/07 15:44:11,2016/11/28 11:33:00,
38759,104年來臺旅客消費及動向調查,休閒旅遊,CSV;PDF,http://admin.taiwan.net.tw/upload/contentFile/201611/104年來臺旅客消費及動向調查opendata.csv;http://admin.taiwan.net.tw/upload/contentFile/201611/104年來臺旅客消費及動向調查_編碼表.pdf,rawData,休閒旅遊:係指各種國內外旅遊、娛樂、運動、文化等相關資料集,idmonstayfreqplanadad1ad2ad3ad4ad5ad6ad7ad8ad8_1ad8_2ad8_3ad8_4ad8_5inf01inf02inf03inf04inf05inf06inf07inf08inf09inf10itm1itm2itm3itm4itm5itm6itm7itm8itm9purp1purp2att01att02att03att04att05att06att07att08att09att10att11att12att13att14att15att16att17att18types1s2s3s4s5s6s7s8btimesbpricelocal1local2local3local4local5act01act02act03act04act05act06act07act08act09act10act11act12act13act14act15act16act17act18act19ts01ts02ts03ts04ts05ts06ts07ts08ts09ts10ts11s11s12s13s13as14s15s16s17s21s22s23s31s32s33s34s35salli01i02i03i04i05i06i07i08i09i10i11i12i13i14i15i16i17i18i19nationresidprovageincomeeducoccupgenderarea,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5;UTF-8,蘇先生,02-23491500#8130,2016/11/07 15:06:41,2016/11/28 11:33:17,
38866,台灣燈塔,休閒旅遊,CSV,http://admin.taiwan.net.tw/upload/contentFile/201611/10240001340-1燈塔資訊.csv,rawData,台灣燈塔資訊,中文景點編號*景點中文名稱*啟用年代*塔高(M)*燈高(M)*光質*該景點所屬之區編號(本欄不需填寫)景點特色詳細文字簡述*景點特色精簡版文字敘述相關活動及解說服務景點服務電話*景點地址*郵遞區號開車及搭乘大眾運輸資訊描述*開放時間*照片連結網址01*照片說明01*照片連結網址02照片說明02照片連結網址03照片說明03景點地圖網址景點之管理權責單位代碼*X坐標*Y坐標*景點分類說明景點分類代碼(複選)01.文化類、02生態類、03.古蹟類、04.廟宇類、05.藝術類、06.小吃/特產類、07.國家公園類、08.國家風景區類、09.休閒農業類、10.溫泉類、11.自然風景類、12.遊憩類、13.體育健身類、14.觀光工廠類、15.都會公園類、16.森林遊樂區類、17.林場類、18.其他)古蹟分級：1.一級、2.二級、3.三級、4.國定、5.直轄市定、6.縣(市)定、9.非古蹟官方網站連結址停車資訊主要停車場X坐標主要停車場Y坐標票價及相關格資料注意事項常用搜尋關鍵字資料變動時間**號為必填項目,交通部觀光局,每年,政府資料開放授權條款－第1版,http://data.gov.tw/license,免費,BIG-5,蘇先生,02-23491500#8130,2016/11/08 15:22:45,2016/11/28 11:38:18,
